LAB_ID,X,Y,Bulk_density,Carbon,Clay,Sand
CT258-6693,712625,78375,1.24433121,1.181,35.58576569,56.41743303
CT258-6993,717125,78375,1.138343949,1.108,28.52,67.48
CT258-6645,717625,78375,0.947770701,5.437,29.58225065,46.43214072
CT258-6915,709375,78625,1.203566879,1.97,35.94562175,48.06077569
CT258-6773,714125,78625,1.216815287,1.472,39.9520096,52.04959008
CT258-6917,716375,78625,1.364585987,1.06,31.98081151,60.74355387
CT258-6805,716875,78625,1.398216561,0.812,13.95441823,76.04958017
CT258-6839,718375,78625,1.015031847,4.379,38.3369978,44.03357985
CT258-6633,719125,78625,0.852993631,2.12,39.39272873,37.35517379
CT258-6913,712125,78875,1.340127389,1.175,27.93764988,58.07354117
CT258-6717,715875,78875,1.373757962,1.1,23.58584849,68.41894863
CT258-6919,717375,78875,0.932484076,1.737,49.88019169,36.14217252
CT258-6809,717875,78875,1.260636943,1.006,20.36,74
CT258-6891,718125,78875,1.152611465,1.293,17.95281887,72.05117953
CT258-6689,709875,79125,1.246369427,1.15,29.42822871,55.29788085
CT258-6685,711375,79125,1.445095541,1.709,31.58736505,54.41823271
CT258-6733,713375,79125,1.003821656,1.797,41.59168166,42.4115177
CT258-6859,714875,79125,1.219872611,1.089,24.31513697,67.68646271
CT258-6819,717125,79125,1.24433121,1.144,28.29736211,65.70743405
CT258-6857,717625,79125,1.100636943,1.704,38.28936851,49.72022382
CT258-6675,708875,79375,1.354394904,1.283,33.58656537,56.41743303
CT258-6847,717625,79375,1.100636943,3.361,33.96603397,40.77922078
CT258-6889,718375,79375,0.957961783,3.036,31.95360928,46.05078984
CT258-6629,719875,79375,1.075159236,2.092,49.39060939,33.34665335
CT258-6983,708875,79625,1.332993631,1.211,28.50859656,57.4970012
CT258-6875,716625,79625,1.251464968,1.446,37.94482207,54.05837665
CT258-7003,716625,79625,1.082292994,1.238,34.52,61.48
CT258-6657,716875,79625,1.265732484,2.406,23.43531294,61.28774245
CT258-6817,717125,79625,0.904968153,6.795,28.34866054,48.02079168
CT258-6851,710625,79875,1.336050955,1.095,30.28971029,55.72427572
CT258-6681,712375,79875,1.376815287,0.918,23.59528094,62.4075185
CT258-6695,716125,79875,1.213757962,1.109,27.58344993,62.42254647
CT258-6637,717875,79875,1.137324841,2.57,35.59288142,46.41071786
CT258-6667,709375,80125,1.464458599,1.679,39.58416633,48.42063175
CT258-6647,711125,80125,1.403312102,1.993,31.56212545,54.45465441
CT258-6779,714125,80125,1.210700637,1.069,23.94563262,66.06036378
CT258-6949,715875,80125,1.301401274,1.049,30.70157905,59.66420148
CT258-6815,717125,80125,1.212738854,1.806,40.30387845,47.70091963
CT258-6719,715125,80375,1.449171975,1.152,39.59208158,56.40871826
CT258-6879,716625,80375,1.232101911,1.321,35.94562175,56.05757697
CT258-6877,717375,80375,0.868280255,7.759,25.95846645,50.79872204
CT258-6853,718125,80375,1.243312102,2.57,37.97721367,38.75674595
CT258-6921,718125,80375,0.981401274,4.469,33.96,42.04
CT258-6969,711875,80625,1.24433121,1.003,29.9540092,64.04719056
CT258-6995,711875,80625,1.452229299,1.354,28.48012782,57.53944478
CT258-6665,712125,80625,1.443057325,0.842,21.59136345,68.41263495
CT258-6705,713125,80625,1.430828025,1.191,39.6,54.4
CT258-6953,716875,80625,1.390063694,1.842,31.94722111,56.05757697
CT258-6707,716375,80875,1.177070064,1.222,35.96403596,42.05794206
CT258-6643,717375,80875,1.029299363,2.972,35.59288142,38.41231754
CT258-6903,717875,80875,1.178089172,2.045,27.95440912,60.0479904
CT258-6807,717375,81125,1.172993631,1.48,29.93006993,60.07992008
CT258-6669,711375,81375,1.144458599,1.779,35.5573312,52.45705154
