FACILITY_ID_NUMBER,FACILITY_NAME,LATITUDE,LONGITUDE,ZONE,REGION,COUNCIL,COMMON FACILITY HEALTH NAME,ALTITUDE,FACILITY TYPE,OWNERSHIP,OPERATING_STATUS
101899-3,ISENG'WA,-3.46372,34.20035,Western,Simiyu,Meatu District Council,,1208,Dispensary,Public,Operating
101900-9,ISENZANYA,-8.795716,32.715063,Southern Highlands,Mbeya,Mbozi District Council,Isenzanya Dispensary,,Dispensary,Public,Operating
101901-7,ISERESERE,-1.579779,34.361012,Lake,Mara,Serengeti District Council,Iseresere Dispensary,1181,Dispensary,Public,Operating
101902-5,ISESA,-8.0169,31.676673,Southern Highlands,Rukwa,Sumbawanga Municipal Council,Isesa,1960,Dispensary,Public,Operating
101903-3,ISESA,-2.9855,32.84793,Lake,Mwanza,Misungwi District Council,Isesa,1192,Dispensary,Public,Operating
101904-1,ISEVYA,-5.02998,32.80921,Western,Tabora,Tabora Municipal Council,ISEVYA,,Dispensary,Public,Operating
101905-8,ISHENGA,-4.39463,34.68501,Central,Singida,Mkalama District Council,,,Dispensary,Private,Operating
101906-6,ISHENTA,-9.353532,33.223252,Southern Highlands,Mbeya,Ileje District Council,Ishenta Dispensary,1634,Dispensary,Public,Operating
101907-4,ISHIHIMULWA,-4.40112,32.5131,Western,Tabora,Uyui District Council,Ishihimulwa,1191,Dispensary,Public,Operating
101909-0,ISHINDE,,,Northern,Kilimanjaro,Same District Council,Ishinde,9185,Dispensary,Public,Operating
101910-8,ISHINSI,-4.35008,34.5886,Central,Singida,Mkalama District Council,,,Dispensary,Public,Operating
101911-6,ISHOZI,-1.15674,31.76817,Lake,Kagera,Missenyi District Council,Ishozi Dispensary,1310,Dispensary,Public,Operating
101912-4,ISIKIZYA,-4.8643,33.1004,Western,Tabora,Uyui District Council,Isikizye,1257,Dispensary,Public,Operating
101915-7,ISINGIRO,-1.2749,30.68886,Lake,Kagera,Kyerwa District Council,Isingiro Hospital,1369,Hospital,Faith based organization,Operating
101916-5,ISIPII,-8.58014,35.64347,Southern Highlands,Iringa,Mufindi District Council,Isipii,1631,Dispensary,Public,Operating
101917-3,ISITU,-8.85471,34.0118,Southern Highlands,Mbeya,Mbarali District Council,Isitu Dispensary,1191,Dispensary,Public,Operating
101919-9,ISMAIL KITINGA,-3.87521,32.76557,Western,Shinyanga,Kahama Town Council,kitinga,1201,Dispensary,Private,Operating
101920-7,ISMANI LWANG'A,-7.48116,35.81673,Southern Highlands,Iringa,Iringa District Council,Isman Mission,1266,Dispensary,Faith based organization,Operating
101921-5,ISMANI,-7.47632,35.80545,Southern Highlands,Iringa,Iringa District Council,Ismani,1293,Health Centre,Public,Operating
101922-3,ISOKO,-9.480813,33.50019,Southern Highlands,Mbeya,Ileje District Council,Isoko Voluntary Hospital,1466,Hospital,Faith based organization,Operating
101924-9,ISOLIWAYA,,,Southern Highlands,Njombe,Njombe District Council,Isoliwaya,,Dispensary,Public,Operating
101925-6,ISOLO,-2.81383,33.69012,Lake,Mwanza,Magu District Council,Isolo,1242,Dispensary,Public,Operating
101926-4,ISONGO,-8.73116,36.7135,Eastern,Morogoro,Ulanga District Council,Isongo,942,Dispensary,Public,Operating
101927-2,ISONGOLE,-9.473844,33.177189,Southern Highlands,Mbeya,Ileje District Council,Isongole disp,,Dispensary,Public,Operating
101929-8,ISONGOLE,-9.3522,33.6074,Southern Highlands,Mbeya,Rungwe District Council,Isongole,,Dispensary,Public,Operating
101930-6,ISONGWA,-5.22153,32.30064,Western,Tabora,Urambo District Council,Isongwa,1142,Dispensary,Public,Operating
101931-4,ISONSO,-9.313615,33.424214,Southern Highlands,Mbeya,Mbeya District Council,Isonso,2004,Dispensary,Public,Operating
101932-2,ISSECO,-2.007787,34.343062,Lake,Mara,Serengeti District Council,ISSECO Dispensary,1327,Dispensary,Faith based organization,Operating
101933-0,ISSEKE,-6.42847,35.02782,Central,Singida,Manyoni District Council,Isseke,1122,Dispensary,Public,Operating
101934-8,ISSENYE,-1.990244,34.352392,Lake,Mara,Serengeti District Council,Issenye Govt Dispensary,1274,Dispensary,Public,Operating
101935-5,ISSUNA,-5.38796,34.75666,Central,Singida,Ikungi District Council,Issuna,1436,Dispensary,Faith based organization,Operating
101936-3,ISTIQAAMA,-6.80537,39.246403,Eastern,Dar es Salaam,Kinondoni Municipal Council,Istiqaama,31,Health Centre,Faith based organization,Operating
101937-1,ISUGILO,,,Western,Tabora,Igunga District Council,,,Dispensary,Public,Operating
101938-9,ISUMBWE,-5.71272,30.50283,Southern Highlands,Katavi,Mpanda District Council,Isumbwe,1314,Dispensary,Public,Operating
101939-7,ISUNGANGHOLO,-3.78854,33.9917,Western,Shinyanga,Kishapu District Council,ISUNGANHOLO,1098,Dispensary,Public,Operating
101940-5,ISUNTO,-9.095239,33.28271,Southern Highlands,Mbeya,Mbeya District Council,Isunto,1803,Dispensary,Public,Operating
101941-3,ISUNURA,-8.62823,34.4177,Southern Highlands,Mbeya,Mbarali District Council,Isunura Dispensary,1057,Dispensary,Public,Operating
101942-1,ISUPILO,-8.20267,35.2348,Southern Highlands,Iringa,Mufindi District Council,Isupilo Magereza,1894,Dispensary,Public,Operating
101944-7,ISYAGA,,,Eastern,Morogoro,Ulanga District Council,Isyaga,,Dispensary,Public,Operating
101945-4,ISYESYE,-8.910045,33.507442,Southern Highlands,Mbeya,Mbeya City Council,Nanenane,1769,Dispensary,Public,Operating
101947-0,ITABA,-3.60472,30.59992,Western,Kigoma,Kibondo District Council,Itaba Dispensary,4504,Dispensary,Public,Operating
101948-8,ITABAGUMBA,-2.28368,32.31454,Lake,Mwanza,Sengerema District Council,Itabagumba Dispensary,1155,Dispensary,Faith based organization,Operating
101950-4,ITAGA,-4.94072,32.74548,Western,Tabora,Tabora Municipal Council,Itaga,,Dispensary,Public,Operating
101951-2,ITAGANO,-8.834441,33.46169,Southern Highlands,Mbeya,Mbeya City Council,,2202,Dispensary,Public,Operating
101952-0,ITAGATA,-9.233271,33.671034,Southern Highlands,Mbeya,Rungwe District Council,Itagata,,Dispensary,Public,Operating
101953-8,ITAGATA,,,Central,Singida,Manyoni District Council,,,Dispensary,Public,Operating
101954-6,ITAGUTWA,-7.61682,35.69462,Southern Highlands,Iringa,Iringa District Council,Itagutwa dispensary,1403,Dispensary,Public,Operating
101955-3,ITAJA,-4.7146,35.06777,Central,Singida,Singida District Council,,,Dispensary,Public,Operating
101956-1,ITAKA,-8.875731,32.803373,Southern Highlands,Mbeya,Mbozi District Council,Itaka Dispensary,,Dispensary,Public,Operating
101959-5,ITALE,-9.251551,33.296749,Southern Highlands,Mbeya,Ileje District Council,Itale Disp,2013,Dispensary,Public,Operating
101960-3,ITAMBA,,,Southern Highlands,Iringa,Iringa Municipal Council,,,Dispensary,Public,Operating
101961-1,ITAMBA,-8.72022,34.22225,Southern Highlands,Mbeya,Mbarali District Council,Itamba Dispensary,1058,Dispensary,Public,Operating
101962-9,ITAMBO,,,Southern Highlands,Njombe,Njombe District Council,Itambo,,Dispensary,Public,Operating
101964-5,ITANANA,-4.17896,32.9006,Western,Tabora,Nzega District Council,Itanana HC,1229,Health Centre,Public,Operating
101965-2,ITASWI,-4.54836,35.9969,Central,Dodoma,Kondoa District Council,,,Dispensary,Public,Operating
101966-0,ITEBULANDA,-5.2105,32.07982,Western,Tabora,Urambo District Council,Itebulanda,1097,Dispensary,Public,Operating
101967-8,ITECH,,,Eastern,Dar es Salaam,Ilala Municipal Council,,,Dispensary,Private,Operating
101969-4,ITELA,-8.32449,31.7456,Southern Highlands,Rukwa,Sumbawanga District Council,,,Dispensary,Public,Operating
101970-2,ITENDE,-8.9054,33.4004,Southern Highlands,Mbeya,Mbeya City Council,,,Dispensary,Public,Operating
101971-0,ITENDE JKT,,,Southern Highlands,Mbeya,Mbeya City Council,Mbeya Military,,Dispensary,Public,Operating
101972-8,ITENGULE,-8.57638,34.8167,Southern Highlands,Iringa,Mufindi District Council,Itengule,1351,Dispensary,Public,Operating
101973-6,ITENKA MORAVIAN,-6.29051,30.59362,Southern Highlands,Katavi,Nsimbo District Council,ItenkaMoravian,1040,Dispensary,Faith based organization,Operating
101974-4,ITENSA,-8.890322,33.547561,Southern Highlands,Mbeya,Mbeya City Council,Itensa,,Dispensary,Public,Operating
101976-9,ITETE,-8.66453,36.4155,Eastern,Morogoro,Ulanga District Council,Itete Gov.,,Dispensary,Public,Operating
101977-7,ITETE,-9.30162,33.84724,Southern Highlands,Mbeya,Busokelo District Council,Itete,1114,Hospital,Faith based organization,Operating
101979-3,ITETE MISSION,-8.52332,36.5215,Eastern,Morogoro,Ulanga District Council,Itete C,,Dispensary,Faith based organization,Operating
101980-1,ITETEMYA,-5.10085,32.79068,Western,Tabora,Tabora Municipal Council,Itetemia,,Dispensary,Public,Operating
101981-9,ITHNAASHER,-3.22463,36.4089,Northern,Arusha,Arusha City Council,,,Dispensary,Faith based organization,Operating
101982-7,ITIGI,-5.70764,34.4902,Central,Singida,Manyoni District Council,Itigi,1308,Health Centre,Public,Operating
101983-5,ITILIMA,-3.73723,33.49049,Western,Shinyanga,Kishapu District Council,Itlima,1116,Dispensary,Public,Operating
101984-3,ITIMBA,-7.87201,33.28876,Southern Highlands,Mbeya,Mbeya District Council,Itimba,1278,Dispensary,Public,Operating
101985-0,ITIMBO,-8.0021,35.84579,Southern Highlands,Iringa,Kilolo District Council,,1906,Dispensary,Public,Operating
101986-8,ITIMBO,-8.27224,35.42532,Southern Highlands,Iringa,Mafinga Town Council,Itimbo,1924,Dispensary,Public,Operating
101988-4,ITINJE,-3.4187,34.11671,Western,Simiyu,Meatu District Council,,1207,Dispensary,Public,Operating
101989-2,ITINKA,-5.05068,32.41302,Western,Tabora,Uyui District Council,Itinka,1134,Dispensary,Public,Operating
101990-0,ITIPULA,-9.40872,35.20171,Southern Highlands,Njombe,Njombe Town Council,Itipula,1653,Dispensary,Public,Operating
101992-6,ITISO,-5.635217,36.022249,Central,Dodoma,Chamwino District Council,Itiso Gorvement,1104,Dispensary,Public,Operating
101993-4,ITISO RC,-5.63556,36.3221,Central,Dodoma,Chamwino District Council,,,Dispensary,Faith based organization,Operating
101995-9,ITOBO,-4.17209,33.0152,Western,Tabora,Nzega District Council,Itobo,,Health Centre,Public,Operating
101996-7,ITOLOLO,-4.517171,35.791,Central,Dodoma,Kondoa District Council,,1241,Health Centre,Faith based organization,Operating
101997-5,ITOLWA,-5.042742,36.231495,Central,Dodoma,Chemba District Council,ITOLWA,1388,Dispensary,Public,Operating
101998-3,ITONA,-8.46025,35.3849,Southern Highlands,Iringa,Mufindi District Council,Itona,2036,Dispensary,Public,Operating
101999-1,ITONGOITALE,-3.42352,33.1632,Western,Shinyanga,Kishapu District Council,ITONGOITALE DISP,1157,Dispensary,Public,Operating
102000-7,ITONYA,-8.08356,36.05833,Southern Highlands,Iringa,Kilolo District Council,Itonya,1648,Dispensary,Public,Operating
102001-5,ITOPE,-9.56038,33.80992,Southern Highlands,Mbeya,Kyela District Council,Itope Dispensary,514,Dispensary,Public,Operating
102002-3,ITOWO,,,Southern Highlands,Njombe,Wanging'ombe District Council,,,Dispensary,Public,Operating
102003-1,ITUHA,-8.93128,33.50516,Southern Highlands,Mbeya,Mbeya City Council,Kiliniki,1757,Dispensary,Public,Operating
102004-9,ITULAHUMBA,-9.088232,34.75537,Southern Highlands,Njombe,Wanging'ombe District Council,Zahanati ya Itulahumba,1830,Dispensary,Public,Operating
102005-6,ITULIKE,-9.289918,34.711338,Southern Highlands,Njombe,Njombe Town Council,Itulike dispensary,2010,Dispensary,Public,Operating
102007-2,ILEJE,-9.401253,33.187989,Southern Highlands,Mbeya,Ileje District Council,Itumba Hospital,1351,Hospital,Public,Operating
102008-0,ITUMBA,-4.56271,33.8603,Western,Tabora,Igunga District Council,,,Dispensary,Public,Operating
102010-6,ITUMPI,-8.876562,33.023085,Southern Highlands,Mbeya,Mbozi District Council,Itumpi Dispensary,,Dispensary,Public,Operating
102011-4,ITUNDAUKULU,-5.19809,33.14157,Western,Tabora,Uyui District Council,Itundaukulu,1302,Dispensary,Public,Operating
102012-2,ITUNDU,-5.08777,32.15168,Western,Tabora,Urambo District Council,Itundu,1105,Dispensary,Public,Operating
102013-0,ITUNDU,-9.77687,34.51833,Southern Highlands,Njombe,Ludewa District Council,Mlangali,18804,Health Centre,Public,Operating
102014-8,ITUNDURU,-4.13548,33.6547,Western,Tabora,Igunga District Council,Itunduru Dispensary,1170,Dispensary,Public,Operating
102016-3,ITUNGI,-7.71338,36.08047,Southern Highlands,Iringa,Kilolo District Council,Itungi,1637,Dispensary,Public,Operating
102017-1,ITUNUNDU,-7.35669,35.49771,Southern Highlands,Iringa,Iringa District Council,Mission,777,Dispensary,Faith based organization,Operating
102018-9,ITUNUNU,-1.782034,34.615874,Lake,Mara,Serengeti District Council,Itununu Dispensary,1526,Dispensary,Public,Operating
102019-7,ITUNYA,-6.792814,30.42282,Southern Highlands,Katavi,Mpanda District Council,Itunya,864,Dispensary,Public,Operating
102020-5,ITUPA,,,Southern Highlands,Mbeya,Mbeya District Council,Itupa,,Dispensary,,Operating
102021-3,ITWANGI,-3.8549,33.09761,Western,Shinyanga,Shinyanga District Council,itwangi dispensary,1185,Dispensary,Public,Operating
102023-9,IVILIKINGE,-9.23885,34.0467,Southern Highlands,Njombe,Makete District Council,,,Dispensary,Public,Operating
102025-4,IVUGA,,,Northern,Kilimanjaro,Same District Council,Ivuga Lutheran,,Dispensary,Faith based organization,Operating
102027-0,IWA,-3.31932,37.46828,Northern,Kilimanjaro,Moshi District Council,,1400,Dispensary,Faith based organization,Operating
102028-8,IWAFI,,,Southern Highlands,Njombe,Njombe District Council,Iwafi,,Dispensary,Public,Operating
102029-6,IWALANJE,-8.866979,32.951258,Southern Highlands,Mbeya,Mbozi District Council,Iwalanje Dispensary,,Dispensary,Public,Operating
102030-4,IWALENJE,-8.960129,33.585922,Southern Highlands,Mbeya,Mbeya District Council,Iwalanje,2171,Dispensary,Public,Operating
102031-2,IWAMBI,-8.921179,33.377568,Southern Highlands,Mbeya,Mbeya City Council,Iwambi,1627,Dispensary,Public,Operating
102032-0,IWELA,-10.44072,34.65793,Southern Highlands,Njombe,Ludewa District Council,Iwela,725,Dispensary,Public,Operating
102033-8,IWIJI,-9.259428,33.242253,Southern Highlands,Mbeya,Mbeya District Council,Iwiji,1869,Dispensary,Public,Operating
102034-6,IWINDI,-8.96198,33.34939,Southern Highlands,Mbeya,Mbeya District Council,Iwindi,1456,Dispensary,Public,Operating
102035-3,IWONDO,,,Central,Dodoma,Mpwapwa District Council,,,Dispensary,Public,Operating
102036-1,IWOWO,-9.129976,33.311263,Southern Highlands,Mbeya,Mbeya District Council,Iwowo,1894,Dispensary,Public,Operating
102037-9,IWUNGIRO,-9.525149,34.863264,Southern Highlands,Njombe,Njombe Town Council,Iwungiro Dispensary,2016,Dispensary,Public,Operating
102038-7,IYENDWE,-8.997106,32.201764,Southern Highlands,Mbeya,Momba District Council,Iendwe,1446,Dispensary,Faith based organization,Operating
102039-5,IYENGE,,,Central,Dodoma,Mpwapwa District Council,,,Dispensary,Public,Operating
102041-1,IYENZE,,,Western,Shinyanga,Kahama Town Council,,,Dispensary,Public,Operating
102042-9,IYOGELO,-3.54829,31.97368,Lake,Geita,Bukombe District Council,Iyogelo Dispensary,1240,Dispensary,Public,Operating
102044-5,IYOGWE,-6.0715,37.3012,Eastern,Morogoro,Gairo District Council,Iyogwe Dispensary,1088,Dispensary,Public,Operating
102045-2,IYOKA,-9.357827,34.022755,Southern Highlands,Njombe,Makete District Council,Iyoka.,2178,Dispensary,Public,Operating
102046-0,IYOMBO,-4.29931,33.1142,Western,Tabora,Nzega District Council,Iyombo,1251,Dispensary,Public,Operating
102047-8,IYULA,-9.070641,33.1353,Southern Highlands,Mbeya,Mbozi District Council,Iyula health center,,Health Centre,Public,Operating
102048-6,IYUNGA,-8.936562,33.424472,Southern Highlands,Mbeya,Mbeya City Council,Iyunga health centre,1636,Health Centre,Public,Operating
102049-4,IZAVA,-5.561118,36.260151,Central,Dodoma,Chamwino District Council,izava,1244,Dispensary,Public,Operating
102050-2,IZAZI,-7.21526,35.71203,Southern Highlands,Iringa,Iringa District Council,Izazi,737,Dispensary,Public,Operating
102051-0,IZIGO,-1.62679,31.7168,Lake,Kagera,Muleba District Council,,,Health Centre,Public,Operating
102052-8,IZIMBILI,-5.22519,32.4091,Western,Tabora,Urambo District Council,Izimbili,1163,Dispensary,Public,Operating
102053-6,IZIMBYA,-1.55155,31.4584,Lake,Kagera,Bukoba District Council,Katekaana,,Hospital,Faith based organization,Operating
102054-4,IZINGA,,,Southern Highlands,Rukwa,Nkasi District Council,Izinga,,Dispensary,Public,Operating
102055-1,IZIWA,-8.87337,33.3979,Southern Highlands,Mbeya,Mbeya City Council,Iziwa,1797,Dispensary,Public,Operating
102056-9,IZIZIMBA,-3.19658,32.57835,Lake,Mwanza,Kwimba District Council,IZIZIMBA,1198,Dispensary,Public,Operating
102057-7,IZUMACHELI,,,Lake,Geita,Geita District Council,,,Dispensary,Public,Operating
102058-5,IZUMBWE,-8.984278,33.392905,Southern Highlands,Mbeya,Mbeya District Council,Izumbwe,1551,Dispensary,Public,Operating
102059-3,IZUMBWE II,,,Southern Highlands,Mbeya,Mbeya District Council,,,Dispensary,Public,Operating
102060-1,IZUO,-9.07595,33.371116,Southern Highlands,Mbeya,Mbeya District Council,Izuo,2019,Dispensary,Public,Operating
102061-9,IZYIRA,-9.27014,33.16753,Southern Highlands,Mbeya,Mbeya District Council,Izyira,1682,Dispensary,Public,Operating
102063-5,J.K.T,,,Southern,Lindi,Nachingwea District Council,,,Dispensary,Public,Operating
102064-3,J.S BABHRA,-6.75627,39.23964,Eastern,Dar es Salaam,Kinondoni Municipal Council,JS Babhra,20,Dispensary,Public,Operating
102066-8,JABAL HIRA,-6.71734,38.74,Eastern,Pwani,Kibaha District Council,Jabal-Hira,73,Dispensary,Faith based organization,Operating
102069-2,JAFFERY CHARITABLE MEDICAL SERVICES,-3.35472,37.34309,Northern,Kilimanjaro,Moshi Municipal Council,Kwa Jaffa,823,Dispensary,Faith based organization,Operating
102070-0,JAHA,-6.83044,39.25642,Eastern,Dar es Salaam,Ilala Municipal Council,Jaha,29,Dispensary,Private,Operating
102071-8,JAJA,-8.19462,39.3573,Eastern,Pwani,Rufiji District Council,Jaja,10,Dispensary,Public,Operating
102073-4,JANA,-3.79832,32.98216,Western,Shinyanga,Msalala District Council,jana dipensary,1191,Dispensary,Public,Operating
102074-2,JANDA,-4.62413,29.8733,Western,Kigoma,Buhigwe District Council,Hospital ya Janda,1068,Health Centre,Public,Operating
102075-9,JANGALO,-5.049334,36.203375,Central,Dodoma,Chemba District Council,JANGALO,1417,Dispensary,Public,Operating
102076-7,JARIBU MPAKANI,-7.54576,39.1317,Eastern,Pwani,Rufiji District Council,Jaribu Mpakani,127,Dispensary,Public,Operating
102079-1,JEMA,-2.13714,35.88556,Northern,Arusha,Ngorongoro District Council,,1221,Dispensary,Public,Operating
102080-9,JEMSA,-6.844123,39.184492,Eastern,Dar es Salaam,Ilala Municipal Council,Jemsa Dispensary,79,Dispensary,Private,Operating
102081-7,JIBONDO,-8.05228,39.71948,Eastern,Pwani,Mafia District Council,Jibondo,15,Dispensary,Public,Operating
102082-5,JIBU LENU,-4.846571,29.653026,Western,Kigoma,Kigoma-Ujiji Municipal Council,Jibu Lenu,815,Dispensary,Private,Operating
102083-3,JIJA,-2.85265,33.61258,Western,Simiyu,Maswa District Council,,1245,Dispensary,Public,Operating
102084-1,JIMBO,-7.78982,39.8611,Eastern,Pwani,Mafia District Council,Jimbo,39,Dispensary,Public,Operating
102085-8,JINAMO,-3.73179,34.5243,Western,Simiyu,Meatu District Council,,1123,Dispensary,Public,Operating
102087-4,JIOBAJ,-3.553294,35.340498,Northern,Arusha,Karatu District Council,Jiobaj,1079,Dispensary,Public,Operating
102088-2,JIONEE MWENYEWE,-4.93861,32.16771,Western,Tabora,Urambo District Council,Jioneemwenyewe,1116,Dispensary,Public,Operating
102089-0,JIPE,-3.57208,37.7189,Northern,Kilimanjaro,Mwanga District Council,,751,Dispensary,Public,Operating
102093-2,JKT MGAMBO,-5.52884,38.58605,Northern,Tanga,Handeni District Council,Mgambo JKT,304,Dispensary,Public,Operating
102097-3,JOGOLO,-5.224799,35.177004,Central,Dodoma,Chemba District Council,JOGOLO,1277,Dispensary,Public,Operating
102099-9,JOJIRO,-3.02309,33.15653,Lake,Mwanza,Kwimba District Council,Jojiro,1214,Dispensary,Public,Operating
102100-5,JOJO,,,Eastern,Pwani,Mafia District Council,Jojo,49,Dispensary,Public,Operating
102102-1,JOSEPH MEDICAL CARE,-2.5927,33.44506,Lake,Mwanza,Magu District Council,Joseph Medical Care,1157,Dispensary,Private,Operating
102103-9,JPM,-6.80566,39.26885,Eastern,Dar es Salaam,Kinondoni Municipal Council,JPM,-317,Health Centre,Private,Operating
102105-4,JUANI,-7.990958,39.781299,Eastern,Pwani,Mafia District Council,Juani,12,Dispensary,Public,Operating
102106-2,JUMA KISIWANI,-2.43769,32.746,Lake,Mwanza,Sengerema District Council,,,Dispensary,Public,Operating
102108-8,JUVA,-5.4877,36.26132,Central,Dodoma,Kongwa District Council,Juva,1198,Dispensary,Private,Operating
102109-6,JUWA,,,Lake,Mwanza,Ilemela Municipal Council,,,Dispensary,Private,Operating
102113-8,JWTZ CHANGANYIKENI,-6.77228,39.18434,Eastern,Dar es Salaam,Kinondoni Municipal Council,JWTZ Changanyikeni Rada,120,Dispensary,Public,Operating
102117-9,JWTZ UBUNGO,,,Eastern,Dar es Salaam,Kinondoni Municipal Council,JWTZ Ubungo- Makuburi,,Dispensary,Public,Operating
102118-7,KILOMBERO SUGAR COMPANY,,,Eastern,Morogoro,Kilosa District Council,K 2,,Health Centre,Parastatal,Operating
102120-3,K.K.K.T. (LUTHERAN),-2.50363,32.90195,Lake,Mwanza,Ilemela Municipal Council,IMANI DISPENSARY,1144,Dispensary,Faith based organization,Operating
102121-1,K.V MISSION,-6.8654,39.2211,Eastern,Dar es Salaam,Ilala Municipal Council,TAG-Kigilagila,,Dispensary,Faith based organization,Operating
102123-7,KAAGYA DISP,,,Lake,Kagera,Bukoba District Council,Burumba,1279,Dispensary,Public,Operating
102125-2,KABARE,-3.128926,30.870933,Western,Kigoma,Kakonko District Council,Kabare Disp,,Dispensary,Faith based organization,Operating
102126-0,KABALE,-1.33273,31.7545,Lake,Kagera,Bukoba District Council,,1368,Dispensary,Public,Operating
102128-6,KABALENZI,-2.52926,30.5701,Lake,Kagera,Ngara District Council,Kbalenzi,1766,Dispensary,Public,Operating
102132-8,KABANGA MISSION,-4.50933,30.10508,Western,Kigoma,Kasulu Town Council,Kabanga,1284,Hospital,Faith based organization,Operating
102133-6,KABANGA Private,-2.64679,30.45889,Lake,Kagera,Ngara District Council,Red cross,1573,Dispensary,Private,Operating
102137-7,KABASA,-1.97002,33.8146,Lake,Mara,Bunda District Council,KABASA,1338,Dispensary,Public,Operating
102138-5,KABIGA,-3.07761,32.75239,Lake,Geita,Nyang'hwale District Council,Kabiga AICT,1174,Dispensary,Faith based organization,Operating
102140-1,KABINGO,-3.3185,30.9189,Western,Kigoma,Kakonko District Council,Kabingo Dispensary,4268,Dispensary,Public,Operating
102142-7,KABONDO,-3.5957,34.07744,Western,Simiyu,Meatu District Council,,1148,Dispensary,Public,Operating
102143-5,KABOYA,-1.59587,31.7442,Lake,Kagera,Muleba District Council,,,Dispensary,Public,Operating
102144-3,KABUKU,-5.49802,38.4732,Northern,Tanga,Handeni District Council,Kabuku,414,Health Centre,Public,Operating
102145-0,KABUKU NDANI,-5.52059,38.51312,Northern,Tanga,Handeni District Council,Kabuku Ndani,391,Dispensary,Public,Operating
102146-8,KABUNGU,-6.30444,30.97492,Southern Highlands,Katavi,Mpanda District Council,Kabungu Dispensary,1189,Dispensary,Public,Operating
102147-6,KABURONGE,-6.13147,31.119,Southern Highlands,Katavi,Nsimbo District Council,Kaburonge,,Dispensary,Public,Operating
102148-4,KABUSUNGU,-2.43143,33.0199,Lake,Mwanza,Ilemela Municipal Council,Kabusungu,1240,Dispensary,Public,Operating
102149-2,KABWE,-7.0466,30.5533,Southern Highlands,Rukwa,Nkasi District Council,Kabwe Disp,,Dispensary,Public,Operating
102150-0,KACHWAMBA,-2.6599,31.57784,Lake,Geita,Chato District Council,Kachwamba,1232,Health Centre,Public,Operating
102151-8,KADANDO,,,Northern,Kilimanjaro,Same District Council,,,Dispensary,Public,Operating
102152-6,KADOTO,-2.95195,33.66369,Western,Simiyu,Maswa District Council,,1246,Dispensary,Public,Operating
102153-4,KAENGESA,-8.26627,31.7034,Southern Highlands,Rukwa,Sumbawanga District Council,,,Health Centre,Faith based organization,Operating
102154-2,KAFITA,-3.23541,32.58459,Lake,Geita,Nyang'hwale District Council,Kafita,12103,Dispensary,Public,Operating
102155-9,KAFUKOKA,-8.37728,31.21324,Southern Highlands,Rukwa,Kalambo District Council,KAFUKOKA DISPENSARY,1460,Dispensary,Public,Operating
102156-7,KAFUNZO,-2.4575,32.1912,Lake,Mwanza,Sengerema District Council,,,Dispensary,Public,Operating
102158-3,KAGEMU,-1.3558,31.80167,Lake,Kagera,Bukoba Municipal Council,Kagemu,,Dispensary,Faith based organization,Operating
102159-1,KAGENYI,-1.41417,30.79806,Lake,Kagera,Kyerwa District Council,Kagenyi,1319,Dispensary,Public,Operating
102162-5,BUKOBA,,,Lake,Kagera,Bukoba Municipal Council,Kagera,,Hospital,Public,Operating
102163-3,KAGERA NKANDA,-4.580962,30.581582,Western,Kigoma,Kasulu District Council,Zahanati ya Kagera,1101,Dispensary,Public,Operating
102166-6,KAGERA SUGAR,-1.21332,31.27517,Lake,Kagera,Missenyi District Council,Kagera Sugar,,Hospital,Parastatal,Operating
102167-4,KAGEZI,-3.78415,30.502,Western,Kigoma,Kibondo District Council,Kagezi,4479,Dispensary,Public,Operating
102168-2,KAGOMA,-1.7706,31.6958,Lake,Kagera,Muleba District Council,Kagoma Dispensary,,Dispensary,Public,Operating
102169-0,KAGONDO,-1.54749,31.7043,Lake,Kagera,Muleba District Council,Kagondo Hospital,1264,Hospital,Faith based organization,Operating
102170-8,KAGONGO,-3.6857,37.71603,Northern,Kilimanjaro,Mwanga District Council,Kagongo Health Centre,774,Health Centre,Public,Operating
102172-4,KAGONGWA,-3.86622,32.75998,Western,Shinyanga,Kahama Town Council,kagongwa,1211,Dispensary,Public,Operating
102174-0,KAGU,-2.7448,32.05064,Lake,Geita,Geita District Council,Kagu,1197,Dispensary,Public,Operating
102175-7,KAGUNGA,,,Western,Kigoma,Kigoma District Council,Kagunga,,Dispensary,Public,Operating
102176-5,KAGUNGA,-2.91612,32.62475,Lake,Mwanza,Sengerema District Council,Kagunga health center,1204,Health Centre,Public,Operating
102177-3,KAGUNGULI,-2.00909,33.07472,Lake,Mwanza,Ukerewe District Council,Kagunguli,1212,Health Centre,Public,Operating
102178-1,KAGURUKA,-4.795592,30.252973,Western,Kigoma,Kasulu District Council,Zahanati ya Kaguruka,1106,Dispensary,Public,Operating
102180-7,KAHAMA,-2.44001,33.01751,Lake,Mwanza,Ilemela Municipal Council,Kahama,1194,Dispensary,Public,Operating
102181-5,KAHAMA,-3.82614,32.59488,Western,Shinyanga,Kahama Town Council,government,1322,Hospital,Public,Operating
102182-3,KAHAMA NHALANGA,-4.17478,32.7832,Western,Tabora,Nzega District Council,Kahama Nhalanga,1255,Dispensary,Public,Operating
102183-1,KAHANGARA,-2.57904,33.35352,Lake,Mwanza,Magu District Council,Kahangara,1202,Health Centre,Public,Operating
102184-9,KAHE,,,Northern,Kilimanjaro,Moshi District Council,,,Dispensary,Public,Operating
