FACILITY_ID_NUMBER,FACILITY_NAME,LATITUDE,LONGITUDE,ZONE,REGION,COUNCIL,COMMON FACILITY HEALTH NAME,ALTITUDE,FACILITY TYPE,OWNERSHIP,OPERATING_STATUS
100075-1,AL HILAL,-6.81897,39.28139,Eastern,Dar es Salaam,Ilala Municipal Council,Al Hilal,29,Dispensary,Faith based organization,Operating
100078-5,AL KARIMU,-6.840399,39.237449,Eastern,Dar es Salaam,Ilala Municipal Council,BAKWATA,41,Dispensary,Private,Operating
100079-3,ALAMAL,,,Southern Highlands,Iringa,Iringa Municipal Council,,,Dispensary,Faith based organization,Operating
100080-1,ALAMANO,-7.77281,35.70111,Southern Highlands,Iringa,Iringa Municipal Council,Alamano,1625,Dispensary,Faith based organization,Operating
100082-7,AL-EHSAA,-3.36883,37.3457,Northern,Kilimanjaro,Moshi Municipal Council,KALOLENI HEALTH CENTRE,805,Dispensary,Faith based organization,Operating
100085-0,AL-IJUMAA,-2.312,32.542,Lake,Mwanza,Nyamagana Municipal Council,Al Jumaa,1162,Health Centre,Faith based organization,Operating
100086-8,AL JUMAA,-6.818188,39.275753,Eastern,Dar es Salaam,Ilala Municipal Council,Al Jumaa Dispensary,15,Dispensary,Faith based organization,Operating
100090-0,ALLIANCE ONE,-6.77842,37.76137,Eastern,Morogoro,Morogoro District Council,,,Dispensary,Private,Operating
100093-4,ALPHA,-1.25212,34.4751,Lake,Mara,Tarime District Council,,,Clinic,Private,Operating
100097-5,AMANA,-6.82674,39.25926,Eastern,Dar es Salaam,Ilala Municipal Council,Amana,,Hospital,Public,Operating
100100-7,AMANI,-9.94648,34.89538,Southern Highlands,Njombe,Ludewa District Council,Amani,1376,Dispensary,Public,Operating
100105-6,AMANI,-11.24256,36.25852,Southern,Ruvuma,Namtumbo District Council,Amani,667,Dispensary,Public,Operating
100106-4,AMANI,-11.21349,37.45284,Southern,Ruvuma,,Amani,509,Dispensary,Public,Operating
100107-2,AMANI,-5.10012,38.63348,Northern,Tanga,Muheza District Council,Amani,904,Dispensary,Public,Operating
100108-0,AMANI,-6.160399,35.760658,Central,Dodoma,Dodoma Municipal Council,Amani,,Health Centre,Private,Operating
100109-8,AMANI,,,Northern,Manyara,Babati Town Council,,,Clinic,Private,Operating
100110-6,AMANI CHOGO,-2.51685,32.90191,Lake,Mwanza,Nyamagana Municipal Council,Amani chogo,1128,Dispensary,Private,Operating
100111-4,AMANI IGOMA,,,Lake,Mwanza,Nyamagana Municipal Council,Amani Igoma,,Dispensary,Private,Operating
100112-2,AMANI MAKOLO,-10.7472,35.13534,Southern,Ruvuma,Mbinga District Council,Amani Makoro Dispensary,1005,Dispensary,Public,Operating
100116-3,AMBANGULU,,,Northern,Tanga,Korogwe District Council,,,Dispensary,Public,Operating
100119-7,AMEC,-6.337284,31.070345,Southern Highlands,Katavi,Mpanda Town Council,AMEC,1081,Dispensary,Faith based organization,Operating
100120-5,AMEN,-9.59996,33.86665,Southern Highlands,Mbeya,Kyela District Council,AMENI,,Dispensary,Private,Operating
100121-3,AMENI,-6.78339,39.22297,Eastern,Dar es Salaam,Kinondoni Municipal Council,Amen,45,Dispensary,Private,Operating
100123-9,ANAMID,-2.58523,33.31083,Lake,Mwanza,Kwimba District Council,Anamed,,Dispensary,Private,Operating
100124-7,ANANDA MARGA,-6.928634,39.128981,Eastern,Dar es Salaam,Ilala Municipal Council,Kwa Mfilipino,,Dispensary,Private,Operating
100129-6,ANGLICAN,-9.349925,34.771376,Southern Highlands,Njombe,Njombe Town Council,Anglican health center,1973,Health Centre,Faith based organization,Operating
100131-2,ANGLO CHARITY,,,Southern Highlands,Mbeya,Tunduma Town Council,,,Dispensary,Private,Operating
100133-8,ANNE,-9.483319,33.8795,Southern Highlands,Mbeya,Kyela District Council,Anne dispensary- Kwa Dr. Mulinda,503,Dispensary,Private,Operating
100134-6,ANNE KIILU,-3.31783,37.41059,Northern,Kilimanjaro,Moshi District Council,,1186,Dispensary,Public,Operating
100136-1,APOLLO MEDICAL CENTRE,-6.81857,39.28314,Eastern,Dar es Salaam,Ilala Municipal Council,Apollo,17,Health Centre,Private,Operating
100139-5,ARAFA MZINGA,-6.907995,39.202497,Eastern,Dar es Salaam,Ilala Municipal Council,Arafa,,Dispensary,Private,Operating
100141-1,ARAFA (CAPRICORN),,,Eastern,Dar es Salaam,Kinondoni Municipal Council,Sandarya Dispensary,,Dispensary,Private,Operating
100142-9,ARAFA AMANI,-6.888277,39.118159,Eastern,Dar es Salaam,Ilala Municipal Council,Kwa Dr. Amani,,Dispensary,Private,Operating
100147-8,ARAFA HURUMA,-6.66752,39.18769,Eastern,Dar es Salaam,Kinondoni Municipal Council,Arafa Huruma,53,Dispensary,Faith based organization,Operating
100148-6,ARAFA IKWIRIRI,-7.954202,38.982116,Eastern,Pwani,Rufiji District Council,Arafa foundation Trust Jaribu,,Dispensary,Faith based organization,Operating
100149-4,ARAFA JARIBU,-7.546859,39.131019,Eastern,Pwani,Rufiji District Council,Arafa foundation Trust Jaribu,129,Dispensary,Faith based organization,Operating
100150-2,ARAFA KICHEMCHEM,-6.913668,39.272028,Eastern,Dar es Salaam,Temeke Municipal Council,Arafa,54,Dispensary,Faith based organization,Operating
100153-6,ARAFA KISIWANI,-6.843464,39.322069,Eastern,Dar es Salaam,Temeke Municipal Council,Arafa Kisiwani,21,Dispensary,Faith based organization,Operating
100154-4,ARAFA KONA,-6.78898,39.19297,Eastern,Dar es Salaam,Kinondoni Municipal Council,Arafa Kona,93,Dispensary,Private,Operating
100156-9,ARAFA MAJUMBA SITA,-6.865963,39.199649,Eastern,Dar es Salaam,Ilala Municipal Council,Arafa Majumba Sita,54,Dispensary,Faith based organization,Operating
